"room_name",latitude,longitude
"LAKESIDE WEST - 2ND FLOOR LAUNDRY ROOM",33.218542, -87.547546
"LAKESIDE WEST - 4TH FLOOR LAUNDRY ROOM",33.218542, -87.547546
"LAKESIDE EAST - 2ND FLOOR LAUNDRY ROOM",33.218533, -87.546065
"LAKESIDE EAST - 4TH FLOOR LAUNDRY ROOM",33.218533, -87.546065
"PARHAM LAUNDRY ROOM",33.20786,-87.545782
"PATY LAUNDRY ROOM",33.21709,-87.545506
"PRESIDENTIAL LAUNDRY ROOM",33.219895,-87.544577
"RIDGECREST EAST 2ND FLOOR LAUNDRY ROOM",33.217533,-87.5481177
"RIDGECREST EAST 3RD FLOOR LAUNDRY ROOM",33.217533,-87.5481177
"RIDGECREST NORTH 2ND FLOOR LAUNDRY ROOM",33.218245,-87.548829
"RIDGECREST NORTH 4TH FLOOR LAUNDRY ROOM",33.218245,-87.548829
"RIDGECREST SOUTH 2ND FLOOR LAUNDRY ROOM",33.2171467,-87.5484424
"RIDGECREST SOUTH 4TH FLOOR LAUNDRY ROOM",33.2171467,-87.5484424
"RIDGECREST WEST 2ND FLOOR LAUNDRY ROOM",33.219895,-87.544577
"RIDGECREST WEST 3RD FLOOR LAUNDRY ROOM",33.219895,-87.544577
"RIVERSIDE HALL EAST, 2ND FLOOR LAUNDRY ROOM",33.218442,-87.543132
"RIVERSIDE HALL EAST, 4TH FLOOR LAUNDRY ROOM",33.218442,-87.543132
"RIVERSIDE HALL NORTH, 2ND FLOOR LAUNDRY ROOM",33.219008,-87.544022
"RIVERSIDE HALL NORTH, 4TH FLOOR LAUNDRY ROOM",33.219008,-87.544022
"RIVERSIDE HALL WEST, 2ND FLOOR LAUNDRY ROOM",33.218667,-87.545127
"RIVERSIDE HALL WEST, 4TH FLOOR LAUNDRY ROOM",33.218667,-87.545127
"TUTWILER 1ST FLR LAUNDRY ROOM",33.206331,-87.546933
